epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.9584,0.63393,0.68916,1.01209,0.92095,0.69948,0.79538,0.60935,0.8397,0.83216,1.13448,0.0001,0.0001,0.0001
2,50.5144,0.82991,1.10226,1.14935,0.92095,0.69948,0.79538,0.60935,0.8397,0.83216,1.13448,9.9505e-05,9.9505e-05,9.9505e-05
3,75.2375,0.87347,1.35363,1.36628,0.92566,0.6987,0.79785,0.6144,0.82542,0.78922,1.13379,9.901e-05,9.901e-05,9.901e-05
4,100.342,0.87064,1.13126,1.25997,0.92566,0.6987,0.79785,0.6144,0.82542,0.78922,1.13379,9.8515e-05,9.8515e-05,9.8515e-05
5,129.502,0.84456,1.04246,1.26877,0.91134,0.69592,0.78961,0.60492,0.83806,0.80772,1.14683,9.802e-05,9.802e-05,9.802e-05
6,154.162,0.75266,1.07642,1.13741,0.91134,0.69592,0.78961,0.60492,0.83806,0.80772,1.14683,9.7525e-05,9.7525e-05,9.7525e-05
7,179.262,0.92775,1.56395,1.43764,0.8742,0.69096,0.77623,0.58872,0.85241,0.85374,1.15976,9.703e-05,9.703e-05,9.703e-05
8,204.025,0.72933,0.95292,1.0789,0.8742,0.69096,0.77623,0.58872,0.85241,0.85374,1.15976,9.6535e-05,9.6535e-05,9.6535e-05
9,229.011,0.79137,0.98878,1.17487,0.8742,0.69096,0.77623,0.58872,0.85241,0.85374,1.15976,9.604e-05,9.604e-05,9.604e-05
10,254.049,0.80852,0.88192,1.43057,0.88091,0.69011,0.77811,0.58793,0.86144,0.84526,1.16737,9.5545e-05,9.5545e-05,9.5545e-05
11,279.221,0.90338,0.97604,1.322,0.88091,0.69011,0.77811,0.58793,0.86144,0.84526,1.16737,9.505e-05,9.505e-05,9.505e-05
12,304.594,0.94523,1.3171,1.39045,0.88197,0.69072,0.7792,0.58742,0.86325,0.8442,1.17049,9.4555e-05,9.4555e-05,9.4555e-05
13,329.347,0.92607,0.9089,1.36518,0.88197,0.69072,0.7792,0.58742,0.86325,0.8442,1.17049,9.406e-05,9.406e-05,9.406e-05
14,354.923,0.7094,0.93797,1.1506,0.87844,0.68841,0.77606,0.58474,0.86409,0.85214,1.17181,9.3565e-05,9.3565e-05,9.3565e-05
15,384.608,0.75991,0.83506,1.22575,0.87844,0.68841,0.77606,0.58474,0.86409,0.85214,1.17181,9.307e-05,9.307e-05,9.307e-05
16,409.591,0.74125,0.95389,1.16557,0.89008,0.692,0.78244,0.59152,0.8578,0.83546,1.16746,9.2575e-05,9.2575e-05,9.2575e-05
17,434.842,0.71071,0.67508,1.17441,0.89008,0.692,0.78244,0.59152,0.8578,0.83546,1.16746,9.208e-05,9.208e-05,9.208e-05
18,460.061,0.99806,1.02791,1.37344,0.89008,0.692,0.78244,0.59152,0.8578,0.83546,1.16746,9.1585e-05,9.1585e-05,9.1585e-05
19,485.312,0.79925,1.0174,1.24672,0.89387,0.69428,0.78561,0.59442,0.85435,0.82608,1.1639,9.109e-05,9.109e-05,9.109e-05
20,510.324,0.82165,0.84211,1.33855,0.89387,0.69428,0.78561,0.59442,0.85435,0.82608,1.1639,9.0595e-05,9.0595e-05,9.0595e-05
21,535.846,0.82736,0.76978,1.25354,0.89906,0.69219,0.78658,0.5978,0.8474,0.82414,1.15824,9.01e-05,9.01e-05,9.01e-05
22,560.794,0.80856,1.07309,1.29013,0.89906,0.69219,0.78658,0.5978,0.8474,0.82414,1.15824,8.9605e-05,8.9605e-05,8.9605e-05
23,585.624,0.86617,1.02659,1.40327,0.89369,0.69326,0.78641,0.59632,0.852,0.82609,1.16238,8.911e-05,8.911e-05,8.911e-05
24,616.177,0.82414,0.73628,1.29396,0.89369,0.69326,0.78641,0.59632,0.852,0.82609,1.16238,8.8615e-05,8.8615e-05,8.8615e-05
25,641.218,0.87777,1.13897,1.27684,0.89369,0.69326,0.78641,0.59632,0.852,0.82609,1.16238,8.812e-05,8.812e-05,8.812e-05
26,666.027,1.13023,0.93336,1.54776,0.89057,0.69289,0.78497,0.59555,0.85155,0.8247,1.16234,8.7625e-05,8.7625e-05,8.7625e-05
27,691.252,0.98964,0.8416,1.44927,0.89057,0.69289,0.78497,0.59555,0.85155,0.8247,1.16234,8.713e-05,8.713e-05,8.713e-05
28,715.988,1.02465,1.03063,1.40635,0.90173,0.69762,0.79126,0.60108,0.84861,0.8095,1.16001,8.6635e-05,8.6635e-05,8.6635e-05
29,740.488,0.80318,0.75367,1.1801,0.90173,0.69762,0.79126,0.60108,0.84861,0.8095,1.16001,8.614e-05,8.614e-05,8.614e-05
30,765.345,0.92233,0.81587,1.38873,0.90581,0.69847,0.79365,0.60365,0.84554,0.80628,1.15757,8.5645e-05,8.5645e-05,8.5645e-05
31,790.679,0.71191,0.67194,1.2209,0.90581,0.69847,0.79365,0.60365,0.84554,0.80628,1.15757,8.515e-05,8.515e-05,8.515e-05
32,815.658,0.81455,0.72357,1.26415,0.90899,0.69759,0.79497,0.60465,0.84784,0.80074,1.16088,8.4655e-05,8.4655e-05,8.4655e-05
33,845.827,0.83271,0.99304,1.33219,0.90899,0.69759,0.79497,0.60465,0.84784,0.80074,1.16088,8.416e-05,8.416e-05,8.416e-05
