epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,24.3038,3.2397,3.65679,4.00842,0.0924,0.19788,0.0543,0.0161,2.57376,3.89018,3.68654,0.0099696,0.0033232,0.0099696,0.0033232,0.0099696,0.0033232,0.0099696,0.0033232
2,42.2136,2.40003,2.72257,2.93888,0.54414,0.46422,0.48087,0.21055,1.98391,2.29823,2.38776,0.0199301,0.00664336,0.0199301,0.00664336,0.0199301,0.00664336,0.0199301,0.00664336
3,58.1896,1.81478,1.92043,2.18965,0.7701,0.52582,0.60633,0.36289,1.52782,2.28862,1.85687,0.0298509,0.00995031,0.0298509,0.00995031,0.0298509,0.00995031,0.0298509,0.00995031
4,73.7956,1.59456,1.61998,1.92098,0.7977,0.57907,0.67355,0.42007,1.44158,1.7667,1.77089,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,89.1686,1.44459,1.46809,1.78984,0.88353,0.62103,0.72958,0.4655,1.39006,1.45025,1.67514,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,104.601,1.36877,1.37007,1.70587,0.87923,0.67393,0.77352,0.5274,1.22566,1.14163,1.53824,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,120.301,1.29702,1.2723,1.64329,0.88672,0.65755,0.76545,0.5191,1.2103,1.1608,1.54038,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,135.71,1.26602,1.23484,1.61296,0.86117,0.65588,0.76237,0.51403,1.21084,1.24543,1.53241,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,151.279,1.21691,1.17763,1.56408,0.91579,0.67766,0.79646,0.56214,1.12309,1.02041,1.42961,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,166.721,1.21009,1.17728,1.55836,0.9193,0.7038,0.81173,0.58082,1.09752,1.02726,1.41884,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,182.324,1.17319,1.11663,1.52442,0.89207,0.68918,0.79689,0.54967,1.15205,0.99258,1.47589,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,197.684,1.1365,1.08821,1.49924,0.9152,0.71437,0.82078,0.58975,1.04775,0.9529,1.35692,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,213.31,1.14359,1.09903,1.50198,0.8964,0.72148,0.8183,0.59134,1.03897,0.94827,1.36511,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,228.704,1.1073,1.06714,1.47306,0.9071,0.71695,0.82833,0.6061,1.017,0.90683,1.33746,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,244.393,1.09788,1.05025,1.45467,0.93097,0.72371,0.83945,0.62399,0.9595,0.87614,1.2908,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,259.731,1.06527,1.00711,1.43379,0.92505,0.70877,0.8248,0.60521,0.99375,0.94034,1.32668,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
17,275.01,1.05973,1.00221,1.43078,0.90241,0.7365,0.84087,0.62978,0.94804,0.83921,1.29259,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
