epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.85629,2.38161,4.24232,2.95885,0.39243,0.30783,0.27087,0.10482,2.32961,3.03891,3.20988,2e-05,2e-05,2e-05
2,17.1801,2.36391,3.38196,2.8012,0.42042,0.33156,0.29854,0.11775,2.29202,2.86338,3.16029,5.9703e-05,5.9703e-05,5.9703e-05
3,24.4889,2.23956,3.53459,2.82599,0.45186,0.33269,0.31292,0.12514,2.27173,2.8056,3.12856,9.901e-05,9.901e-05,9.901e-05
4,31.7746,2.43208,4.01966,3.1629,0.49537,0.34596,0.33858,0.13766,2.23662,2.6686,3.09242,0.000137921,0.000137921,0.000137921
5,39.1264,2.19996,3.46841,2.72996,0.54206,0.38458,0.38355,0.1585,2.15657,2.46458,3.03791,0.000176436,0.000176436,0.000176436
6,46.5828,2.06526,2.9365,2.61578,0.58482,0.41557,0.4145,0.17349,2.06659,2.49359,2.97045,0.000214555,0.000214555,0.000214555
7,54.019,2.03869,2.75168,2.5574,0.60931,0.44692,0.44055,0.18951,1.97745,2.68784,2.89526,0.000252278,0.000252278,0.000252278
8,61.5206,2.08808,2.07844,2.73752,0.61246,0.47379,0.46466,0.20617,1.9245,2.67219,2.82797,0.000289605,0.000289605,0.000289605
9,69.0182,2.08157,2.20291,2.71383,0.60778,0.47888,0.47467,0.21136,1.90385,2.60979,2.79914,0.000326536,0.000326536,0.000326536
10,76.4846,1.99097,1.89324,2.61583,0.59267,0.49183,0.48197,0.21666,1.89076,2.48888,2.77159,0.000363071,0.000363071,0.000363071
11,83.9365,1.9223,2.0912,2.51475,0.58793,0.49933,0.48707,0.21973,1.87876,2.41003,2.74124,0.00039921,0.00039921,0.00039921
12,91.442,1.75029,1.53797,2.40585,0.58782,0.50369,0.48657,0.22035,1.87148,2.36857,2.70539,0.000434953,0.000434953,0.000434953
13,98.9334,1.74314,1.54552,2.32061,0.59101,0.51313,0.48349,0.21834,1.86508,2.42387,2.67621,0.0004703,0.0004703,0.0004703
14,106.471,2.01884,1.72865,2.56915,0.5884,0.51932,0.47671,0.2129,1.8725,2.52199,2.65716,0.000505251,0.000505251,0.000505251
15,114.053,1.73251,1.70062,2.13995,0.57208,0.50767,0.45911,0.19999,1.89946,2.7506,2.66031,0.000539806,0.000539806,0.000539806
