epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,33.8085,1.80272,1.87465,2.33307,0.7746,0.54698,0.62695,0.34388,1.63506,1.70192,2.28825,0.0099696,0.0033232,0.0099696,0.0033232,0.0099696,0.0033232,0.0099696,0.0033232
2,73.5291,1.53004,1.52594,2.03878,0.83947,0.58681,0.68853,0.42321,1.44901,1.45865,2.0486,0.0198708,0.00662359,0.0198708,0.00662359,0.0198708,0.00662359,0.0198708,0.00662359
3,105.587,1.44425,1.42995,1.93442,0.82092,0.58763,0.68418,0.41117,1.48741,1.48016,2.07383,0.0296729,0.00989097,0.0296729,0.00989097,0.0296729,0.00989097,0.0296729,0.00989097
4,135.329,1.38954,1.3716,1.86574,0.82521,0.64966,0.73732,0.45625,1.36162,1.35284,1.90792,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,166.606,1.32146,1.31577,1.79776,0.8947,0.66093,0.77268,0.52361,1.21644,1.19544,1.73942,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,197.583,1.28705,1.25839,1.7497,0.88982,0.66646,0.78573,0.54904,1.14645,1.07802,1.65905,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,223.991,1.23055,1.18373,1.6972,0.90532,0.68699,0.79724,0.55041,1.18196,1.04321,1.65626,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,241.49,1.20339,1.15664,1.66926,0.88427,0.66565,0.77658,0.52453,1.1507,1.18266,1.67642,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,265.899,1.17341,1.12095,1.63521,0.90953,0.68815,0.8066,0.57444,1.0876,0.99703,1.57182,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,297.104,1.17251,1.11732,1.63236,0.91619,0.70068,0.8157,0.57805,1.08725,0.93174,1.57506,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,329.338,1.13749,1.07146,1.6056,0.88817,0.69686,0.80555,0.56534,1.09956,0.95298,1.59746,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,348.461,1.11009,1.04482,1.57378,0.91296,0.71147,0.82463,0.60423,1.00295,0.90082,1.49236,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,377.824,1.11511,1.05691,1.5834,0.92334,0.70193,0.8197,0.60052,1.00848,0.88351,1.47356,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,409.78,1.08997,1.02453,1.55004,0.89564,0.71563,0.8245,0.59425,1.05458,0.90533,1.51593,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,437.301,1.07986,1.02941,1.54669,0.91098,0.71126,0.8241,0.61141,0.9854,0.91575,1.45066,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,455.227,1.05614,0.9837,1.51519,0.89838,0.71624,0.82461,0.61193,0.97593,0.87137,1.43758,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,478.654,1.05222,0.96935,1.51655,0.92563,0.728,0.84245,0.63255,0.9425,0.81957,1.4164,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,511.205,1.04819,0.96438,1.50386,0.91914,0.73927,0.84542,0.6265,0.95034,0.8149,1.41992,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,542.451,1.03057,0.9605,1.4951,0.91802,0.72558,0.84188,0.63424,0.91939,0.79245,1.38438,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,562.408,1.01229,0.93007,1.47604,0.91217,0.73028,0.84465,0.63819,0.92422,0.79905,1.39137,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,591.848,1.00773,0.94134,1.47483,0.92907,0.74173,0.8471,0.64293,0.89553,0.76017,1.36854,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,624.632,1.00509,0.92689,1.46882,0.91848,0.75023,0.85447,0.64956,0.87114,0.75209,1.34114,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,651.339,1.00281,0.92808,1.47515,0.91199,0.72869,0.84582,0.64908,0.89996,0.84029,1.37687,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,669.409,0.98435,0.91164,1.45465,0.92499,0.73665,0.85318,0.65116,0.88767,0.77517,1.35576,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,700.612,0.98616,0.88897,1.45068,0.90623,0.76167,0.85804,0.64956,0.88776,0.76825,1.35303,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,733.543,0.9762,0.89659,1.43946,0.90597,0.75669,0.86196,0.66316,0.845,0.76778,1.31185,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,758.49,0.96443,0.87511,1.43253,0.9195,0.73864,0.85289,0.64954,0.88187,0.78088,1.3432,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
