epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,40.8522,2.55725,3.47355,3.21857,0.33039,0.19851,0.17723,0.06011,2.45859,2.78497,3.08766,0.00993939,0.00331313,0.00993939,0.00331313,0.00993939,0.00331313,0.00993939,0.00331313
2,72.8087,2.01923,2.48675,2.63179,0.39393,0.27878,0.23567,0.08116,2.08086,3.49804,2.83876,0.0198407,0.00661356,0.0198407,0.00661356,0.0198407,0.00661356,0.0198407,0.00661356
3,99.4224,1.85586,2.37884,2.44594,0.49114,0.37834,0.33902,0.13848,1.84994,3.76457,2.52998,0.029643,0.009881,0.029643,0.009881,0.029643,0.009881,0.029643,0.009881
4,129.795,1.74775,2.30325,2.31317,0.44294,0.35905,0.27928,0.11028,1.89854,3.77447,2.81605,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,159.993,1.69988,2.25468,2.23911,0.57709,0.40137,0.40986,0.15916,1.82841,2.61794,2.71761,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,185.112,1.6343,2.20867,2.1765,0.61387,0.38384,0.39347,0.15894,1.79964,2.56339,2.64192,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,212.68,1.60525,2.17363,2.14737,0.6853,0.42439,0.43371,0.18207,1.91677,2.35848,2.61229,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,242.479,1.56206,2.13596,2.1081,0.64167,0.40697,0.42611,0.1834,1.80325,2.96972,2.63082,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,275.939,1.54572,2.0932,2.08765,0.76705,0.45737,0.52107,0.26114,1.61338,2.53221,2.2783,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,306.853,1.51883,2.02971,2.0644,0.74019,0.44928,0.48274,0.21377,1.83158,2.69389,2.5627,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,338.148,1.49487,2.03427,2.04206,0.63828,0.3827,0.40276,0.18229,1.76259,2.43172,2.50809,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,368.222,1.4875,1.99472,2.02188,0.79606,0.49533,0.54868,0.26648,1.81492,1.83917,2.5268,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,392.28,1.46852,1.97452,2.01268,0.78909,0.46422,0.51909,0.23881,1.79447,1.99395,2.57057,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,422.652,1.45249,1.94452,1.99007,0.75338,0.46671,0.51093,0.23496,1.81518,2.01501,2.64521,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,452.541,1.42474,1.9146,1.96982,0.83654,0.48724,0.56115,0.28825,1.68945,1.85897,2.38854,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,479.895,1.42619,1.90086,1.96001,0.73145,0.44991,0.49557,0.21323,1.87936,1.92305,2.65698,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,507.748,1.41934,1.89631,1.95539,0.79729,0.47728,0.53144,0.26324,1.72258,2.0007,2.4573,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,539.134,1.40498,1.8795,1.9203,0.79148,0.49839,0.56593,0.28677,1.72225,1.87918,2.3907,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,577.254,1.39806,1.86198,1.93302,0.83535,0.47915,0.5507,0.27423,1.77212,1.89644,2.60042,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,604.95,1.38934,1.81734,1.92282,0.84855,0.51836,0.60456,0.31007,1.67961,1.62602,2.34146,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,634.647,1.37117,1.7953,1.91019,0.76044,0.45177,0.51311,0.24557,1.66983,1.92519,2.48407,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,665.321,1.37631,1.84404,1.90148,0.79609,0.49803,0.56439,0.28704,1.65606,1.75106,2.28282,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,689.876,1.38384,1.80678,1.90979,0.86664,0.50145,0.57827,0.29848,1.67834,1.69773,2.3498,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,717.909,1.36265,1.80585,1.88386,0.8573,0.51591,0.59777,0.29549,1.72429,1.73009,2.44756,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,748.012,1.35606,1.78296,1.88486,0.86474,0.52209,0.61304,0.3263,1.60958,1.62609,2.30158,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,778.817,1.34919,1.74714,1.87484,0.87866,0.52085,0.59623,0.30908,1.63715,1.66978,2.32148,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,806.004,1.35115,1.75724,1.87999,0.82105,0.51276,0.59825,0.30269,1.66504,1.75984,2.31484,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,837.848,1.34431,1.73594,1.86704,0.82539,0.50007,0.5746,0.30005,1.69447,1.74695,2.35084,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,868.212,1.3367,1.71001,1.86451,0.81357,0.54263,0.61172,0.32906,1.58347,1.56959,2.18049,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,893.633,1.32127,1.71986,1.85337,0.8413,0.5084,0.59565,0.32612,1.59404,1.64644,2.18004,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,922.419,1.3261,1.73031,1.86109,0.81022,0.52769,0.60087,0.3168,1.69424,1.65923,2.33331,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,952.724,1.31836,1.70994,1.84319,0.8667,0.50902,0.60262,0.33139,1.57647,1.68289,2.2119,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,983.01,1.30574,1.69096,1.83112,0.86672,0.522,0.59309,0.30616,1.66097,1.73355,2.4158,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,1010.55,1.30299,1.69562,1.81889,0.86002,0.53205,0.63058,0.35597,1.52865,1.53656,2.14144,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,1040.85,1.31226,1.68001,1.83006,0.87147,0.5028,0.58427,0.30908,1.67328,1.7605,2.37096,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
