epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,273.346,2.50218,3.27421,3.15115,0.34814,0.32358,0.21383,0.07553,2.13985,2.80053,2.73609,0.0099696,0.0033232,0.0099696,0.0033232,0.0099696,0.0033232,0.0099696,0.0033232
2,504.36,2.00088,2.44851,2.60625,0.49355,0.36092,0.32906,0.1243,2.05378,2.79084,2.72886,0.0198708,0.00662359,0.0198708,0.00662359,0.0198708,0.00662359,0.0198708,0.00662359
3,752.817,1.84265,2.33585,2.43057,0.46896,0.24331,0.22953,0.06907,2.12989,3.37946,3.1002,0.0296729,0.00989097,0.0296729,0.00989097,0.0296729,0.00989097,0.0296729,0.00989097
4,1000.15,1.74633,2.31726,2.30661,0.581,0.38457,0.38519,0.15519,1.87214,2.57327,2.70504,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,1234.53,1.66508,2.24356,2.22765,0.65193,0.36777,0.39901,0.15902,1.8506,2.85813,2.68785,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,1482.28,1.62852,2.19454,2.18961,0.75429,0.40572,0.46089,0.19997,1.87721,2.27825,2.79367,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,1733.66,1.58815,2.15252,2.14631,0.62107,0.3827,0.39586,0.15597,1.83772,2.52897,2.70863,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,1980.1,1.55933,2.0758,2.11234,0.62702,0.41636,0.41496,0.17739,1.84373,2.50023,2.67687,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,2224.64,1.52655,2.06124,2.07082,0.70663,0.42128,0.46199,0.19916,1.82074,2.39365,2.84284,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,2470.61,1.51963,2.02522,2.06692,0.76527,0.42004,0.47297,0.20467,1.83759,2.27015,2.68377,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,2719.22,1.48063,1.99718,2.02756,0.76196,0.48475,0.54753,0.26667,1.73085,1.99887,2.60534,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,2967.3,1.47108,1.95033,2.027,0.77971,0.45302,0.53005,0.26133,1.63103,2.12789,2.31175,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,3215.24,1.44491,1.95389,2.00992,0.80417,0.4916,0.55714,0.27253,1.71208,1.84709,2.40748,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,3468.36,1.4372,1.89249,1.98686,0.79682,0.49533,0.56185,0.26349,1.74853,1.90764,2.49922,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,3718.03,1.42163,1.87412,1.97127,0.78002,0.48973,0.54918,0.26828,1.71987,1.82353,2.47557,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,3962.66,1.41329,1.84944,1.96288,0.72928,0.50459,0.55531,0.26082,1.70149,1.84063,2.46987,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,4211.19,1.38935,1.81959,1.9392,0.78515,0.52758,0.59707,0.30823,1.58512,1.92343,2.24635,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,4459.62,1.39944,1.84116,1.93906,0.80706,0.48416,0.57172,0.29304,1.6602,1.79777,2.39943,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,4706.53,1.38199,1.82494,1.92692,0.80892,0.52423,0.60554,0.31998,1.60581,1.82781,2.309,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,4955.35,1.36823,1.81279,1.91092,0.81719,0.53143,0.59975,0.32245,1.61634,1.78271,2.3161,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,5202.74,1.36685,1.7991,1.90625,0.82879,0.54263,0.61631,0.31624,1.67157,1.74765,2.36805,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,5451.94,1.35857,1.77793,1.89191,0.84409,0.52582,0.58201,0.2942,1.66975,1.82855,2.4168,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,5701.32,1.34079,1.7642,1.88644,0.83204,0.53639,0.60527,0.29828,1.72227,1.84185,2.39986,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,5950.74,1.35192,1.7677,1.8887,0.82965,0.50007,0.57891,0.29588,1.63973,1.85499,2.30395,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
