epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2898,1.03135,1.40253,1.41246,0.91727,0.70195,0.79495,0.60906,0.91227,0.90903,1.21184,0,0,0
2,18.8788,1.11647,1.214,1.45678,0.9162,0.70274,0.79515,0.60953,0.9104,0.90514,1.21063,1.9901e-05,1.9901e-05,1.9901e-05
3,26.4225,0.97456,1.23946,1.33806,0.9184,0.70185,0.79549,0.61005,0.90909,0.90192,1.20965,3.9604e-05,3.9604e-05,3.9604e-05
4,33.9408,0.79927,1.22894,1.24836,0.91686,0.70083,0.79509,0.61012,0.90895,0.90323,1.21013,5.9109e-05,5.9109e-05,5.9109e-05
5,41.7136,1.17003,1.49084,1.56382,0.91647,0.70659,0.79939,0.61521,0.90496,0.88661,1.20508,7.8416e-05,7.8416e-05,7.8416e-05
6,49.1987,1.35159,2.03051,1.79514,0.92392,0.71033,0.8048,0.61911,0.90002,0.87105,1.19834,9.7525e-05,9.7525e-05,9.7525e-05
7,56.8412,1.13023,1.50379,1.46991,0.9256,0.71299,0.80816,0.62272,0.89691,0.85605,1.19492,0.000116436,0.000116436,0.000116436
8,64.4536,0.99385,1.15624,1.48621,0.92452,0.71767,0.81076,0.62295,0.89916,0.84992,1.19567,0.000135149,0.000135149,0.000135149
9,71.9374,0.75865,0.80871,1.22886,0.92763,0.71526,0.81216,0.62091,0.90343,0.84469,1.1975,0.000153664,0.000153664,0.000153664
10,79.5606,0.87157,0.94036,1.29581,0.91954,0.71953,0.81359,0.6188,0.9095,0.84161,1.20198,0.000171981,0.000171981,0.000171981
11,87.0211,0.9023,0.85298,1.3227,0.92506,0.71674,0.8135,0.61527,0.91848,0.84039,1.20743,0.0001901,0.0001901,0.0001901
12,94.4022,0.75553,0.69334,1.27181,0.93115,0.71456,0.81453,0.61384,0.92851,0.83756,1.21374,0.000208021,0.000208021,0.000208021
13,102.031,0.91947,0.83096,1.30696,0.92858,0.71795,0.81644,0.61329,0.93262,0.83165,1.21475,0.000225744,0.000225744,0.000225744
14,109.626,0.77427,0.53809,1.16348,0.91846,0.72816,0.82162,0.61868,0.92363,0.81698,1.20853,0.000243269,0.000243269,0.000243269
