epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,55.1796,0.939,0.84678,1.30688,0.92073,0.77287,0.8656,0.67609,0.81292,0.68713,1.14876,0.00993939,0.00331313,0.00993939,0.00331313,0.00993939,0.00331313,0.00993939,0.00331313
2,95.8435,0.87296,0.78556,1.26853,0.95003,0.76353,0.88235,0.69771,0.78839,0.6764,1.12887,0.0198407,0.00661356,0.0198407,0.00661356,0.0198407,0.00661356,0.0198407,0.00661356
3,129.542,0.88414,0.80807,1.26823,0.89111,0.76383,0.84811,0.62329,0.92621,0.80768,1.23802,0.029643,0.009881,0.029643,0.009881,0.029643,0.009881,0.029643,0.009881
4,162.44,0.9485,0.87151,1.30176,0.89263,0.72426,0.83576,0.63074,0.90681,0.92595,1.2344,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,195.763,0.94504,0.87397,1.30446,0.90742,0.71126,0.81775,0.60479,0.95992,0.86797,1.26523,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,228.456,0.93861,0.85505,1.2982,0.89748,0.72371,0.8116,0.62558,0.8765,0.9928,1.21761,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,262.458,0.9176,0.82952,1.27702,0.92646,0.74922,0.84644,0.65567,0.8488,0.79055,1.16084,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,295.018,0.90145,0.82852,1.26457,0.92482,0.76291,0.85828,0.65546,0.88232,0.78365,1.186,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,327.801,0.89857,0.8097,1.26289,0.90031,0.75296,0.84872,0.66277,0.83388,0.74188,1.16273,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,361.368,0.89418,0.80386,1.25872,0.92195,0.76914,0.8688,0.67348,0.8191,0.75683,1.16047,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,393.795,0.86867,0.78514,1.24715,0.91093,0.75731,0.86059,0.6653,0.82935,0.71956,1.16041,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,427.823,0.85576,0.7603,1.23082,0.94594,0.73864,0.83666,0.65914,0.8083,0.78246,1.1418,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,461.444,0.87558,0.78977,1.25718,0.95657,0.72647,0.80327,0.63849,0.85125,1.14878,1.16364,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,496.438,0.86481,0.77955,1.24062,0.93001,0.77474,0.87652,0.69341,0.77547,0.68523,1.11473,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,530.005,0.84401,0.76171,1.23265,0.94002,0.77046,0.87331,0.70312,0.75325,0.69357,1.1152,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,564.395,0.85051,0.75337,1.22654,0.91969,0.76665,0.85907,0.68062,0.81128,0.73329,1.13287,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,597.93,0.85524,0.75759,1.2366,0.91516,0.78158,0.88815,0.70917,0.75809,0.64715,1.10799,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,631.189,0.83332,0.75048,1.22195,0.90746,0.78107,0.87614,0.70022,0.76289,0.65217,1.11226,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,666.681,0.83046,0.72695,1.21535,0.91282,0.77598,0.87638,0.70662,0.7411,0.63782,1.08532,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,714.147,0.8218,0.71907,1.20732,0.9141,0.7822,0.88245,0.71111,0.73138,0.63354,1.09423,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,760.082,0.82551,0.72026,1.21965,0.91664,0.7878,0.8897,0.71232,0.74728,0.62666,1.0972,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,805.973,0.80716,0.72265,1.20101,0.93218,0.78158,0.88311,0.71137,0.73859,0.63325,1.105,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,852.959,0.80527,0.72345,1.20478,0.93964,0.76525,0.87722,0.71018,0.73339,0.61857,1.08642,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,899.151,0.80745,0.72351,1.20117,0.93886,0.77402,0.883,0.71505,0.73241,0.64886,1.08422,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,941.757,0.80881,0.70528,1.20191,0.91924,0.7933,0.88,0.70885,0.74211,0.64185,1.09972,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,981.552,0.79859,0.70134,1.20287,0.93842,0.78704,0.89282,0.72327,0.71449,0.61659,1.06996,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,1029.83,0.80068,0.69765,1.1957,0.95578,0.78011,0.8849,0.71276,0.73895,0.6169,1.06729,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,1076.4,0.78934,0.68673,1.1882,0.96158,0.77868,0.88456,0.7189,0.71253,0.61964,1.0725,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,1122.96,0.7912,0.69109,1.19441,0.93636,0.78594,0.87938,0.71313,0.7373,0.62477,1.0985,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,1169.91,0.79512,0.69324,1.19843,0.92288,0.79527,0.8847,0.71999,0.72138,0.61629,1.07732,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,1215.91,0.79119,0.68195,1.19557,0.9426,0.78967,0.88874,0.71949,0.72635,0.58567,1.07992,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,1263.51,0.77724,0.68023,1.17122,0.95418,0.77971,0.88563,0.72523,0.69729,0.5739,1.06262,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,1307.84,0.77907,0.66757,1.18267,0.94834,0.77785,0.89145,0.72556,0.71377,0.58189,1.06981,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,1353,0.78695,0.68595,1.18487,0.96125,0.77474,0.89509,0.73702,0.69591,0.58873,1.06334,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,1397.95,0.77448,0.66199,1.17598,0.92576,0.80698,0.89328,0.73022,0.70403,0.58587,1.0546,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,1444.3,0.78176,0.66139,1.17986,0.94222,0.78469,0.89181,0.73082,0.70569,0.57116,1.07056,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,1490.46,0.77416,0.66303,1.16993,0.92585,0.8003,0.89861,0.74121,0.67515,0.56611,1.04342,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,1536.93,0.77065,0.72471,1.16984,0.94881,0.79583,0.89625,0.73511,0.69211,0.56659,1.06387,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,1584.06,0.76852,0.66189,1.17526,0.94114,0.7878,0.89147,0.72952,0.69361,0.55853,1.05415,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,1630.21,0.76081,0.68275,1.16505,0.92407,0.8027,0.89309,0.73444,0.68054,0.57482,1.04811,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,1675.04,0.76462,0.65612,1.16298,0.93813,0.7934,0.90225,0.74582,0.67362,0.55403,1.03348,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,1725.18,0.75464,0.65136,1.16739,0.94416,0.79216,0.89233,0.73654,0.68315,0.5801,1.04666,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,1771.14,0.76683,0.65405,1.17677,0.93849,0.79403,0.89329,0.73516,0.6864,0.57453,1.05665,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,1816.23,0.75647,0.64809,1.16503,0.92979,0.80523,0.9006,0.73915,0.68115,0.55806,1.04369,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,1861.7,0.75806,0.65632,1.17028,0.94089,0.799,0.90123,0.74545,0.67721,0.56256,1.03696,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,1908.47,0.74212,0.63913,1.15447,0.94185,0.80087,0.90066,0.74216,0.67608,0.55965,1.03903,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,1952.87,0.75001,0.63745,1.15518,0.94552,0.79917,0.89538,0.73749,0.67728,0.55618,1.04705,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,2000.48,0.74034,0.63413,1.1617,0.93189,0.79278,0.89047,0.73589,0.67918,0.55308,1.05498,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,2047.04,0.74822,0.63538,1.15938,0.93114,0.7934,0.89494,0.74167,0.67391,0.54562,1.03539,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,2091.37,0.74995,0.6316,1.15909,0.96578,0.7878,0.89966,0.74848,0.65798,0.54219,1.03063,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,2127.18,0.73994,0.63891,1.15491,0.93331,0.8012,0.89843,0.74483,0.66136,0.5385,1.03534,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,2159.01,0.7437,0.63314,1.16042,0.93533,0.80999,0.90529,0.7532,0.66046,0.54439,1.02914,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,2184.4,0.73183,0.62856,1.13928,0.92335,0.80087,0.89481,0.74186,0.67881,0.56033,1.04908,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,2218.68,0.72058,0.63078,1.1363,0.93891,0.80398,0.90202,0.74217,0.66768,0.54232,1.03634,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,2250.41,0.72462,0.61695,1.14466,0.92154,0.81581,0.90398,0.74798,0.6572,0.55409,1.03157,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,2284.17,0.73294,0.6267,1.14806,0.95481,0.79278,0.89932,0.7486,0.65736,0.52938,1.02396,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,2319.2,0.71687,0.61225,1.13283,0.92506,0.80659,0.8909,0.73794,0.66421,0.54929,1.02982,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,2353.03,0.7224,0.61327,1.14258,0.94135,0.79899,0.90421,0.75394,0.64985,0.536,1.02058,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,2387.48,0.72784,0.62309,1.14503,0.92995,0.81021,0.9084,0.75654,0.65055,0.52059,1.02348,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,2421.44,0.71479,0.61041,1.13721,0.94,0.80149,0.90567,0.75193,0.6527,0.52856,1.02625,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,2455.28,0.72004,0.62067,1.15098,0.92559,0.82046,0.90777,0.75625,0.6442,0.53224,1.02767,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,2490.39,0.72698,0.61876,1.14293,0.93197,0.82141,0.90862,0.75613,0.64016,0.52539,1.01831,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,2523.06,0.71582,0.61773,1.1362,0.95986,0.79776,0.90745,0.7539,0.65895,0.51674,1.02681,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,2558.5,0.723,0.61479,1.13306,0.91715,0.82664,0.90992,0.75901,0.63667,0.52983,1.01129,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,2592.43,0.71671,0.6108,1.14092,0.93624,0.80772,0.9115,0.763,0.63821,0.51325,1.0287,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,2627.2,0.71656,0.60809,1.14082,0.9399,0.80768,0.90487,0.75953,0.62696,0.51013,1.00906,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,2661.71,0.712,0.59946,1.14318,0.91854,0.83199,0.91222,0.76484,0.63242,0.50126,1.00919,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,2694.38,0.7048,0.59456,1.13388,0.94439,0.81369,0.9085,0.75811,0.64358,0.50443,1.02206,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,2728.56,0.69908,0.6257,1.12395,0.93852,0.81697,0.91101,0.76137,0.63608,0.5101,1.01153,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,2763.88,0.70293,0.59038,1.13016,0.95268,0.79403,0.9103,0.75956,0.63813,0.5113,1.01248,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,2798.29,0.71022,0.61,1.1398,0.92679,0.81767,0.90566,0.75873,0.62429,0.51788,1.0059,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,2833.82,0.71076,0.60094,1.13837,0.9504,0.80398,0.90935,0.76304,0.62928,0.49859,1.01416,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,2868.9,0.7066,0.59888,1.13654,0.93923,0.81754,0.90992,0.76571,0.63355,0.50899,1.01509,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
