epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,87.4478,3.24553,3.58083,3.68119,0.46476,0.28294,0.28022,0.12126,2.342,2.55704,2.83801,0.00996154,0.00332051,0.00996154,0.00332051,0.00996154,0.00332051,0.00996154,0.00332051
2,157.663,1.98621,1.9604,2.27632,0.73366,0.44416,0.50388,0.29011,1.63459,1.68276,1.92231,0.019922,0.00664067,0.019922,0.00664067,0.019922,0.00664067,0.019922,0.00664067
3,229.084,1.6095,1.51668,1.78476,0.79854,0.47621,0.5461,0.33875,1.49097,1.63193,1.68299,0.0298429,0.00994763,0.0298429,0.00994763,0.0298429,0.00994763,0.0298429,0.00994763
4,300.332,1.41734,1.31441,1.57482,0.85919,0.53072,0.61069,0.41128,1.29827,1.2383,1.48325,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,371.096,1.30591,1.18343,1.46081,0.82865,0.5196,0.61157,0.43061,1.19379,1.25593,1.39088,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,442.409,1.22672,1.09134,1.39703,0.87542,0.58211,0.67577,0.48591,1.08435,1.00079,1.294,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,514.427,1.18486,1.04259,1.35386,0.87011,0.59231,0.68752,0.49542,1.04689,1.07104,1.25356,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,584.465,1.14318,1.00381,1.31998,0.88574,0.60053,0.69877,0.51428,1.01161,0.93672,1.22649,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,655.14,1.11575,0.973,1.29662,0.88003,0.60898,0.70399,0.51545,1.02282,0.90449,1.23715,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,726.029,1.10011,0.95211,1.28477,0.87757,0.61395,0.71773,0.53173,0.97367,0.85238,1.19434,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,796.689,1.07954,0.92845,1.26795,0.87659,0.61705,0.7188,0.53661,0.95826,0.86971,1.17866,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,867.73,1.06161,0.90762,1.25029,0.89309,0.62393,0.72714,0.54617,0.92587,0.81688,1.157,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,939.93,1.05122,0.89527,1.2389,0.8855,0.62992,0.73283,0.55273,0.9227,0.80569,1.15262,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,1009.06,1.03424,0.87792,1.223,0.88702,0.6236,0.72747,0.54576,0.92555,0.8257,1.15525,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,1080.04,1.02285,0.86435,1.21825,0.88148,0.63076,0.73655,0.56041,0.89882,0.77881,1.14015,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,1151.84,1.01477,0.85431,1.20738,0.87987,0.64576,0.7456,0.56694,0.88218,0.76209,1.12773,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
17,1222.74,1.0092,0.84701,1.20052,0.87606,0.64951,0.75006,0.57408,0.86628,0.74405,1.11162,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
18,1293.15,1.00256,0.84109,1.19801,0.89183,0.64195,0.74349,0.56789,0.87294,0.75963,1.11707,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
19,1364.5,0.98784,0.83028,1.18612,0.88193,0.65428,0.75558,0.57904,0.85164,0.72718,1.09965,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
20,1436.86,0.99456,0.83028,1.19084,0.88214,0.65418,0.75618,0.58142,0.84943,0.72618,1.09905,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
21,1507.34,0.97968,0.8223,1.18103,0.88457,0.65253,0.75551,0.58083,0.85019,0.72569,1.09894,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
22,1578.56,0.9781,0.81343,1.17608,0.88937,0.65641,0.75953,0.58578,0.83784,0.72329,1.09125,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
23,1648.87,0.96914,0.80427,1.17199,0.87105,0.66479,0.76114,0.589,0.82696,0.70967,1.08516,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
24,1719.84,0.97203,0.8076,1.17327,0.87446,0.66532,0.76207,0.58968,0.82635,0.70306,1.08983,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
25,1789.85,0.9628,0.80184,1.16807,0.88674,0.66905,0.77022,0.60088,0.80537,0.68768,1.06758,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
26,1860.17,0.96525,0.79844,1.16552,0.87746,0.66784,0.76529,0.59717,0.79793,0.68947,1.06583,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
27,1930.39,0.9544,0.78781,1.15945,0.88339,0.6692,0.77331,0.60508,0.79383,0.6732,1.06261,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
28,2001.58,0.95071,0.78115,1.15744,0.88583,0.66479,0.77039,0.60499,0.78625,0.67039,1.06236,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
29,2072.74,0.95411,0.78224,1.15704,0.88194,0.67619,0.77355,0.60697,0.7806,0.66952,1.05506,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
30,2143.24,0.94328,0.77712,1.15534,0.88409,0.67536,0.77456,0.60847,0.77992,0.67145,1.05747,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
31,2214.2,0.94192,0.77519,1.15334,0.88933,0.67294,0.77533,0.6089,0.77999,0.65989,1.05501,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
32,2284.51,0.94278,0.77666,1.15079,0.88979,0.67552,0.77712,0.61208,0.77248,0.65944,1.04921,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
33,2354.62,0.93857,0.77235,1.14822,0.88907,0.67484,0.77876,0.61333,0.77148,0.6582,1.04965,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
34,2424.68,0.93612,0.76788,1.14417,0.89333,0.67202,0.77867,0.61336,0.76649,0.65134,1.04417,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
35,2495.13,0.93044,0.76278,1.14588,0.88409,0.67971,0.78137,0.61585,0.76038,0.64418,1.04345,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
36,2565.93,0.93094,0.76115,1.14388,0.88638,0.67885,0.77979,0.61652,0.75809,0.64709,1.04135,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
37,2636.89,0.92831,0.75799,1.14049,0.883,0.68146,0.78426,0.62109,0.74823,0.63329,1.03445,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
38,2707.1,0.92347,0.75612,1.14044,0.884,0.68288,0.78402,0.62139,0.75067,0.63738,1.03657,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
39,2777.69,0.92497,0.75725,1.13917,0.88782,0.68148,0.78452,0.62096,0.74895,0.63824,1.03508,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
40,2847.22,0.92459,0.75625,1.13889,0.89066,0.67849,0.78244,0.62054,0.74676,0.63496,1.03535,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
41,2917.62,0.92182,0.75607,1.13597,0.88656,0.68283,0.78753,0.62533,0.7445,0.62669,1.03268,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
42,2988.62,0.91791,0.74964,1.13094,0.8886,0.68138,0.78612,0.62384,0.74316,0.63257,1.03287,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
43,3058.44,0.92053,0.75361,1.13359,0.88768,0.68177,0.7882,0.62614,0.73835,0.62613,1.02857,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
44,3128.3,0.91472,0.74746,1.13356,0.88448,0.68847,0.78905,0.62713,0.73497,0.62276,1.02704,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
45,3198.36,0.91254,0.7448,1.1323,0.88604,0.68588,0.78933,0.62827,0.73217,0.62309,1.02773,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
46,3269.69,0.91283,0.74159,1.12978,0.88331,0.68816,0.78961,0.62754,0.73199,0.62165,1.02482,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
47,3340.34,0.908,0.74129,1.12843,0.88239,0.6883,0.78915,0.62904,0.72861,0.61951,1.02312,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
48,3411.05,0.91258,0.73914,1.12813,0.88358,0.68588,0.78899,0.62944,0.72793,0.61816,1.02319,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694
49,3481.28,0.90682,0.73824,1.1267,0.8782,0.69219,0.79029,0.63051,0.72803,0.61102,1.02293,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
50,3550.58,0.9127,0.74077,1.12839,0.88145,0.69287,0.79244,0.63118,0.7257,0.60876,1.02126,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298
51,3620.93,0.90762,0.73741,1.12734,0.87976,0.69524,0.79349,0.63237,0.72415,0.60777,1.0197,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
52,3691.16,0.89926,0.72841,1.12028,0.88269,0.69371,0.79401,0.63374,0.72198,0.60564,1.01813,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902
53,3763.55,0.9056,0.74,1.12683,0.88363,0.69303,0.79426,0.63354,0.72105,0.60562,1.01805,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704
54,3835.3,0.90391,0.73033,1.12379,0.88367,0.69204,0.79365,0.63428,0.71991,0.60544,1.01775,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506
55,3904.46,0.90181,0.73331,1.12346,0.88319,0.69362,0.79397,0.6345,0.71907,0.60567,1.0179,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308
56,3975.71,0.90861,0.73483,1.12379,0.885,0.69273,0.79355,0.63542,0.71754,0.60591,1.01769,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
57,4047.88,0.9022,0.7339,1.12247,0.8827,0.6938,0.79343,0.6349,0.71591,0.60575,1.01661,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912
58,4119.29,0.89513,0.72733,1.12016,0.88339,0.6938,0.79382,0.63569,0.71509,0.60423,1.01554,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714
59,4191.73,0.8943,0.72798,1.11834,0.88726,0.69121,0.79423,0.63594,0.71422,0.60321,1.01504,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
60,4263.73,0.89686,0.72723,1.11658,0.88978,0.68984,0.79466,0.63611,0.71355,0.60211,1.01454,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318
61,4336.17,0.89982,0.72677,1.11773,0.89115,0.68953,0.79512,0.63682,0.71275,0.60152,1.01408,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
62,4419.05,0.89554,0.72431,1.11748,0.88749,0.69182,0.79524,0.63715,0.71202,0.60082,1.01357,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922
63,4490.99,0.89433,0.72319,1.11655,0.8849,0.69474,0.79566,0.63758,0.71081,0.59951,1.01272,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724
64,4569.67,0.89316,0.71972,1.11591,0.88831,0.69151,0.79547,0.63801,0.71,0.59921,1.0124,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526
65,4643.21,0.88906,0.7233,1.11567,0.88406,0.69428,0.796,0.63824,0.70917,0.59877,1.01186,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328
66,4717.37,0.88896,0.7209,1.11165,0.88472,0.69413,0.79558,0.63894,0.70898,0.5986,1.01155,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
67,4794.5,0.89509,0.72516,1.11715,0.88486,0.69448,0.79599,0.63913,0.7087,0.59792,1.01141,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932
68,4865.91,0.88658,0.71554,1.11128,0.88674,0.69379,0.79589,0.6389,0.70833,0.59819,1.0111,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734
69,4938.24,0.88309,0.71683,1.11119,0.88399,0.69555,0.79615,0.63917,0.70787,0.59748,1.01101,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536
70,5016.42,0.88246,0.71002,1.10665,0.88303,0.696,0.79628,0.6394,0.70735,0.59734,1.01039,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338
71,5092.06,0.88389,0.71476,1.11069,0.88452,0.69593,0.79667,0.63973,0.7073,0.59656,1.01027,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
72,5165.56,0.88548,0.71732,1.11237,0.8847,0.6957,0.7966,0.63986,0.70699,0.5968,1.01004,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942
73,5238.61,0.87948,0.71037,1.10742,0.88516,0.69481,0.79677,0.63983,0.70711,0.59689,1.00968,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744
74,5321.04,0.88371,0.71432,1.11024,0.88246,0.69676,0.79687,0.63993,0.70707,0.59715,1.00945,0.0256638,0.0085546,0.0256638,0.0085546,0.0256638,0.0085546,0.0256638,0.0085546
75,5392.21,0.88356,0.71325,1.10949,0.8844,0.69692,0.79694,0.63978,0.70712,0.59699,1.00952,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348
76,5465.32,0.88234,0.71582,1.10994,0.8826,0.69829,0.79721,0.64012,0.7068,0.597,1.00924,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
77,5537.57,0.87637,0.71117,1.10527,0.88503,0.69646,0.79706,0.6401,0.70643,0.59723,1.00902,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952
78,5609.84,0.87973,0.71775,1.10928,0.88415,0.69722,0.79737,0.64037,0.70623,0.5971,1.00867,0.0254262,0.0084754,0.0254262,0.0084754,0.0254262,0.0084754,0.0254262,0.0084754
79,5683.69,0.88012,0.71261,1.10859,0.88419,0.69722,0.79742,0.64067,0.70574,0.59687,1.00831,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556
80,5754.45,0.87465,0.70907,1.1052,0.88477,0.69619,0.79722,0.64105,0.70532,0.59643,1.00801,0.0253074,0.0084358,0.0253074,0.0084358,0.0253074,0.0084358,0.0253074,0.0084358
81,5828.63,0.8755,0.70577,1.10635,0.88602,0.69562,0.79737,0.64089,0.70504,0.5967,1.00779,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
82,5903.68,0.87247,0.70397,1.1044,0.88607,0.69539,0.79737,0.64089,0.70486,0.5968,1.00782,0.0251886,0.0083962,0.0251886,0.0083962,0.0251886,0.0083962,0.0251886,0.0083962
83,5975.24,0.87244,0.70253,1.10125,0.88688,0.69596,0.79744,0.64107,0.70457,0.59632,1.0077,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764
